                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0514,                0.63926,                 1.0489,                 0.9479,                 0.7119,                0.87146,                0.58773,                 1.1362,                0.65251,                 1.0865,                 0.0946,                 0.0006,                 0.0006
                      1,                 1.0188,                0.59213,                 1.0498,                0.77373,                0.81541,                0.84885,                0.58768,                 1.1292,                0.64213,                 1.0732,               0.088274,              0.0012743,              0.0012743
                      2,                0.98292,                0.58937,                  1.059,                0.81063,                0.76901,                0.87346,                0.60144,                 1.1307,                0.61669,                 1.0705,               0.081921,              0.0019208,              0.0019208
                      3,                 1.0198,                0.55019,                 1.0226,                0.82006,                0.82745,                0.89506,                0.60494,                 1.1402,                0.60811,                 1.0826,                0.07554,              0.0025396,              0.0025396
                      4,                0.99544,                0.55712,                 1.0105,                0.86164,                0.86514,                0.92826,                0.62321,                   1.11,                0.59498,                 1.0762,               0.069131,              0.0031307,              0.0031307
                      5,                 1.0117,                0.57364,                 1.0026,                0.79501,                 0.8331,                0.82719,                0.55694,                 1.1364,                0.64314,                 1.0815,               0.062694,              0.0036941,              0.0036941
                      6,                0.97496,                0.55909,                0.99326,                0.78276,                0.76866,                0.84909,                0.57622,                 1.1344,                0.74172,                 1.0958,                0.05623,              0.0042298,              0.0042298
                      7,                0.94235,                0.58784,                 1.0127,                 0.7373,                0.80582,                0.83573,                0.56642,                 1.1476,                0.73739,                 1.1021,               0.049738,              0.0047377,              0.0047377
                      8,                0.98858,                0.56507,                  1.008,                 0.8974,                0.75493,                0.86597,                0.51907,                 1.1988,                0.71156,                 1.1163,               0.043218,              0.0052179,              0.0052179
                      9,                  1.004,                0.53419,                0.99266,                0.78651,                0.76814,                0.83818,                0.52194,                 1.1709,                0.73984,                  1.106,                0.03667,              0.0056704,              0.0056704
                     10,                0.99553,                0.60004,                0.99631,                0.79334,                 0.8331,                 0.8547,                0.56355,                 1.1777,                0.69439,                 1.1103,               0.030095,              0.0060952,              0.0060952
                     11,                 1.0454,                0.65847,                 1.0155,                0.74828,                0.76303,                0.83673,                0.54744,                 1.1257,                 0.8169,                 1.0828,               0.023492,              0.0064923,              0.0064923
                     12,                0.95527,                0.63883,                0.98704,                0.73232,                0.84895,                0.85193,                0.57856,                 1.1507,                  0.788,                 1.0923,               0.016862,              0.0068616,              0.0068616
                     13,                0.99214,                0.61468,                0.98525,                0.83899,                0.76218,                0.83929,                0.55381,                 1.2081,                0.90049,                 1.1237,               0.010203,              0.0072032,              0.0072032
                     14,                 1.0023,                0.67241,                  1.025,                 0.8953,                0.73492,                0.85114,                0.56204,                 1.1479,                0.74074,                 1.0909,               0.007228,               0.007228,               0.007228
                     15,                0.99745,                0.59482,                 1.0079,                0.85278,                0.69093,                0.80092,                0.54456,                  1.145,                0.81134,                  1.087,               0.007228,               0.007228,               0.007228
                     16,                0.97192,                0.66482,                 1.0036,                0.77651,                0.76127,                0.83881,                0.52292,                 1.1622,                0.88713,                 1.0985,                0.00703,                0.00703,                0.00703
                     17,                0.97041,                0.54828,                0.99424,                0.86395,                0.67192,                0.83214,                0.50131,                 1.2319,                0.80208,                 1.1444,               0.006832,               0.006832,               0.006832
                     18,                0.96923,                  0.561,                 1.0276,                0.80671,                0.75747,                0.84954,                0.55358,                 1.1619,                0.76733,                 1.1018,               0.006634,               0.006634,               0.006634
                     19,                0.95753,                0.57316,                 1.0008,                0.87725,                0.80845,                0.87438,                0.54206,                 1.1666,                0.69377,                 1.1072,               0.006436,               0.006436,               0.006436
                     20,                0.92611,                0.51377,                0.97675,                0.80654,                0.82932,                0.86153,                0.59319,                 1.1198,                0.67651,                 1.0679,               0.006238,               0.006238,               0.006238
                     21,                0.92198,                0.52117,                0.97373,                0.86698,                0.78345,                0.88115,                0.59027,                 1.1278,                0.70648,                 1.0905,                0.00604,                0.00604,                0.00604
                     22,                0.91074,                0.52546,                0.97962,                0.91763,                0.64295,                0.78777,                0.53032,                 1.1205,                0.79274,                 1.0829,               0.005842,               0.005842,               0.005842
                     23,                0.98347,                0.52588,                0.99083,                0.78477,                0.74014,                0.81212,                0.54599,                 1.1395,                0.77735,                 1.0884,               0.005644,               0.005644,               0.005644
                     24,                0.86996,                0.49948,                0.95667,                0.79715,                0.81956,                0.84735,                0.56906,                 1.1279,                 0.7027,                  1.094,               0.005446,               0.005446,               0.005446
                     25,                0.92678,                 0.5297,                0.98298,                0.78263,                0.81901,                 0.8533,                 0.5891,                 1.1422,                 0.7022,                 1.0829,               0.005248,               0.005248,               0.005248
                     26,                0.85797,                0.49159,                0.96327,                0.81267,                0.80182,                 0.8687,                0.57822,                 1.1294,                0.67751,                 1.0831,                0.00505,                0.00505,                0.00505
                     27,                0.83338,                0.47175,                0.96102,                0.77975,                0.84014,                0.86897,                0.58667,                 1.1357,                0.65011,                 1.0869,               0.004852,               0.004852,               0.004852
                     28,                0.86321,                0.49934,                0.95306,                0.89447,                0.73345,                0.85943,                0.58068,                 1.1059,                0.64618,                 1.0586,               0.004654,               0.004654,               0.004654
                     29,                0.82861,                0.46484,                0.95721,                0.83966,                0.74861,                0.86071,                0.58108,                 1.1327,                0.68831,                 1.0631,               0.004456,               0.004456,               0.004456
                     30,                0.82152,                0.46624,                 0.9391,                0.81367,                0.74789,                0.82886,                0.55119,                 1.1268,                0.70615,                 1.0617,               0.004258,               0.004258,               0.004258
                     31,                0.82872,                0.46906,                0.94106,                0.82921,                0.73362,                0.83886,                0.56256,                 1.1447,                0.72788,                 1.0637,                0.00406,                0.00406,                0.00406
                     32,                0.83301,                0.48804,                0.94877,                0.86179,                0.68732,                0.83155,                0.53298,                 1.1613,                0.69756,                 1.0795,               0.003862,               0.003862,               0.003862
